,Entity,Year,Prevalence Substance use disorders_Male (Percent),Prevalence Substance use disorders_Female (Percent),Deaths Substance use disorders (Rate),Deaths Substance use disorders_Age: 70+ years (Number),Deaths Substance use disorders_Age: 50-69 years (Number),Deaths Substance use disorders_Age: 15-49 years (Number),Deaths Substance use disorders_Age: Under 5 (Number),Deaths Substance use disorders_Age: 5-14 years (Number),Deaths Cocaine use disorders (Number),Deaths Opioid use disorders (Number),Deaths Other drug use disorders (Number),Deaths Amphetamine use disorders (Number),Prevalence Substance use disorders (Percent),Prevalence Alcohol use disorders (Percent),Prevalence Drug use disorders (Percent),Deaths Drug use disorders (Number),Deaths Alcohol use disorders (Number),Deaths Cause: All causes_Risk: Tobacco (Number),Deaths Cause: All causes_Risk: Drug use (Number),Deaths Cause: All causes_Risk: Alcohol use (Number),"Prevalence Substance, Alcohol, Drugs use disorders (Percent)"
4826,Region of the Americas (WHO),2016,5.2834478786146,2.67261209947671,8.939652570728946,5866,32713,58404,4,12,8066,43652,5512,3700,3.93092199733033,2.33124416356957,1.70491210346133,60930,36069,994710,117339,351325,2.655692754787077
4827,Region of the Americas (WHO),2017,5.27284511065681,2.69858608503224,9.294968870004858,6204,33523,62206,0,3,8959,46520,6004,4179,3.93901096036016,2.3112774403377,1.73275365452446,65662,36274,1001854,122741,356739,2.6610140184074402
4828,Region of the Americas (WHO),2018,5.26572562766412,2.68742352622554,9.474396672168371,6656,34707,63852,0,0,9565,47894,6247,4474,3.9300949072507,2.29445680018009,1.73935465208801,68179,37035,1023000,126171,363518,2.6546354531729333
4829,Region of the Americas (WHO),2019,5.246579092219901,2.65425434951575,9.68720381113767,7064,35641,66084,0,0,10162,49853,6453,4737,3.90426125631857,2.26891750636854,1.7370779111029502,71205,37583,1043124,130061,370331,2.636752224596687
4885,Russia,2015,6.265125004906389,2.69986833644997,18.738702531967338,1428,15198,18582,0,0,222,6046,906,392,4.29289326827327,3.12506159418652,1.2856400253731102,7565,27643,335610,30525,170782,2.9011982959442997
4886,Russia,2016,6.16031235499139,2.53027664585049,18.034882685283016,1370,15041,17707,0,0,198,5500,811,323,4.15685419125151,3.01499831365748,1.25396669037329,6832,27287,331124,30611,163095,2.8086063984274268
4887,Russia,2017,6.07513447658087,2.37225096520002,17.355386634386182,1382,14464,17064,0,0,177,4977,728,273,4.03885180118759,2.9176952518008203,1.22898886772303,6155,26754,312229,27725,153136,2.7285119735704804
4888,Russia,2018,5.99672853046494,2.39007172047817,17.839564703115165,1432,14533,17786,0,0,172,4887,709,263,4.022697159227,2.90802114874166,1.2209632634113,6032,27719,311483,27027,153094,2.7172271904599867
4889,Russia,2019,5.87199225432007,2.49559850606487,18.164150407222355,1530,14628,18179,0,0,168,4764,693,252,4.03806793706897,2.92726766843253,1.21633968402931,5877,28460,317323,26479,154181,2.7272250965102693
4945,Saint Kitts and Nevis,2015,3.40326004926202,1.4522166093418098,13.449608742788088,1,5,3,0,0,0,0,0,0,2.42310600397288,1.6209469446744702,0.8376184063104799,0,9,25,2,21,1.627223784985943
4946,Saint Kitts and Nevis,2016,3.32233613548542,1.45620563764908,13.53837410302163,1,5,3,0,0,0,0,0,0,2.38439245178603,1.58106992886895,0.83801110894435,0,9,26,2,22,1.6011578298664435
4947,Saint Kitts and Nevis,2017,3.2446262996129502,1.45979278455677,13.524346074078762,1,5,3,0,0,0,0,0,0,2.34724546407702,1.54298487998392,0.83772854845015,0,9,27,2,22,1.5759862975036967
4948,Saint Kitts and Nevis,2018,3.242304705828189,1.461524779359,13.683645295623956,1,6,3,0,0,0,0,0,0,2.34676444295146,1.54163112731243,0.83837526614338,0,10,28,2,23,1.5755902788024232
4949,Saint Kitts and Nevis,2019,3.2665096532283497,1.46369856412412,14.986005045787754,1,7,3,0,0,0,0,0,0,2.3597736733119,1.55303979329398,0.84045014618079,0,11,31,2,26,1.5844212042622232
5155,Scotland,2015,9.41469512738579,4.44144494686637,11.666742916945354,33,190,501,0,0,17,353,65,19,6.83535870570831,4.45205626771864,2.70114288852665,453,271,13561,782,3038,4.6628526206512
5156,Scotland,2016,9.39141269813536,4.406387984288631,12.450828955909484,34,198,538,0,0,19,385,73,22,6.807422538401379,4.45976812833651,2.66274752637987,499,271,13542,843,3063,4.643312731039253
5157,Scotland,2017,9.38496627193552,4.36713685486803,12.519533622711572,35,199,539,0,0,20,384,75,24,6.78515314606376,4.46821439324388,2.63255361334179,503,270,13504,849,3057,4.628640384216476
5158,Scotland,2018,9.29701702529796,4.28261928028473,12.486809489195686,38,203,531,0,0,20,384,75,24,6.70009734913532,4.38113108010568,2.62546629716547,503,270,14194,859,3164,4.56889824213549
5159,Scotland,2019,9.0876108341566,4.12251571608775,12.54007129235588,39,205,532,0,0,20,387,75,25,6.516841449181509,4.19092086588655,2.61368966941489,506,270,14279,864,3177,4.44048399482765
6265,Ukraine,2015,5.3841268961222895,2.0077308805586,15.309320685237852,308,3540,5033,0,0,43,1259,157,72,3.50681875376849,2.70140168398282,0.8926460752507901,1532,7349,133218,10258,49165,2.366955504334033
6266,Ukraine,2016,5.26185844170148,1.93192197454824,15.354819545530011,297,3431,5101,0,0,42,1248,152,69,3.42553287743039,2.60481183389084,0.90568878891716,1511,7317,127514,9958,47002,2.3120111667461303
6267,Ukraine,2017,5.11371467185284,1.86509568762947,15.666919040099984,305,3501,5174,0,0,42,1247,151,67,3.33858330619254,2.50250493883262,0.91692873826037,1507,7473,125531,9862,45860,2.2526723277618435
6268,Ukraine,2018,5.05679670801059,1.89925308013978,15.849434444245349,319,3586,5174,0,0,41,1226,148,62,3.33246425873185,2.49716725638976,0.91525028255631,1478,7601,127583,9621,45253,2.248293932559307
6269,Ukraine,2019,4.95759566774299,2.00329912373909,16.147706971494156,335,3606,5252,0,0,41,1226,149,62,3.34216448102571,2.5180743742714897,0.90349010391995,1477,7716,125760,9361,44744,2.2545763197390496
6355,United States,2015,6.9612967775986,4.68046755458952,17.50453714627718,2576,20660,39849,1,5,5517,36564,4130,2875,5.79930534584741,2.51735706768482,3.4560761209544704,49086,14005,510428,85529,128082,3.9242461781622335
6356,United States,2016,6.99527167728901,4.8122009872761895,19.584341847263456,2751,22261,45357,1,6,6364,41449,4770,3445,5.88224422642162,2.50032168621118,3.5568670278025705,56028,14347,517194,93918,132508,3.9798109801451234
6357,United States,2017,7.029269527330929,4.90649293579398,20.81107911978172,2987,22820,48880,0,0,7188,44198,5228,3904,5.94646884607762,2.48427438405183,3.6376814802163504,60518,14169,520812,98621,133096,4.022808236781933
6358,United States,2018,7.089086774583291,4.91622683450472,21.330857028460688,3291,23672,50070,0,0,7765,45479,5441,4186,5.98120476369233,2.48196000885737,3.67489045106304,62871,14162,536987,101471,135290,4.046018407870913
6359,United States,2019,7.17596847251404,4.89390420125581,22.02771031989023,3547,24271,51943,0,0,8323,47337,5620,4437,6.01345656172314,2.49044050473268,3.69950379556934,65717,14044,549585,104736,136663,4.06780028734172
6385,United States Virgin Islands,2015,4.66468123527519,1.71391136497672,9.505530301709166,2,8,4,0,0,1,0,0,0,3.08894342700818,2.24816701157023,0.90021180285753,2,13,123,4,59,2.0791074138119803
6386,United States Virgin Islands,2016,4.5432521407086295,1.7180248032664598,9.458015244228813,2,8,4,0,0,1,0,0,0,3.03446829396296,2.1923265421937,0.8994562310127,2,13,123,4,58,2.0420836890564535
6387,United States Virgin Islands,2017,4.41041770672034,1.72336100690254,9.485840662785698,2,8,4,0,0,1,0,0,0,2.9752854141228298,2.13047736098355,0.89898321125135,2,13,124,4,59,2.0015819954525766
6388,United States Virgin Islands,2018,4.36569957132458,1.7211360486859,9.49532137079007,2,8,4,0,0,1,0,0,0,2.95346306833197,2.10724919556637,0.89955443994138,2,12,125,4,58,1.9867555679465732
6389,United States Virgin Islands,2019,4.31397659252688,1.7148140308918602,9.489791772838307,2,8,4,0,0,1,0,0,0,2.92688251115798,2.07992739656272,0.89986570902983,2,12,125,4,57,1.9688918722501765
6655,World Bank High Income,2015,4.94649957539837,2.7373388264037,7.412104502324955,9356,39113,58052,7,24,6352,47306,6884,3711,3.83636688269086,2.11190034713831,1.82574527863748,64253,42298,1754462,142536,527712,2.5913375028222165
6656,World Bank High Income,2016,4.95011712596539,2.77697155169101,7.99543896183328,9672,41018,63797,5,18,7240,52477,7607,4314,3.8586370987833,2.10052218530911,1.8591890210157496,71638,42872,1757453,151699,532391,2.6061161017027197
6657,World Bank High Income,2017,4.95342377950013,2.80600279927849,8.346663996504219,10070,41623,67593,0,0,8097,55482,8134,4808,3.87543607258208,2.0898271047776698,1.88689855817226,76520,42766,1767801,157598,536492,2.6173872451773366
6658,World Bank High Income,2018,4.95593294652283,2.80929955527098,8.513001048619932,10564,42434,69072,0,0,8702,57024,8434,5128,3.8793646690976,2.08227324724445,1.89794780074652,79288,42782,1800238,161817,545312,2.61986190569619
6659,World Bank High Income,2019,4.94394283014509,2.7983638680519203,8.738823734077455,11032,43034,71263,0,0,9292,59176,8701,5418,3.86941330587179,2.06903546926676,1.9006693502046896,82588,42742,1827708,166330,555459,2.6130393751144134
